vs. Model;Deutsch;Russian;Englisch;;;
doormat, welcome mat;der Teppich, -e;коврик, м.;;;;
table lamp;die Lampe, -n;лампа, ж.;;;;
spotlight, spot;die Stehlampe, -n;торшер, м.;;;;
"digital clock
analog clock";der Wecker, -;будильник, м.;;;;
bucket, pail;der Eimer, -;ведро, с.;;;;
;der Haken, -;вешалка, ж.;;;;
"window shade
theater curtain, theatre…";"der Vorhang, ""-e";занавеска / штора, ж.;;;;
bathtub, bathing tub, b...;die Badewanne, -n;ванна, ж.;;;;
showercurtain;"der Duschvorhang, ""-e";шторка для ванной, ж.;;;;
washbasin, handbasin,...;das Waschbecken, -;раковина, ж.;;;;
doormat, welcome mat;die Badematte, -n;коврик для ванной, м.;;;;
toilet seat;"das Klo, -s
die Toilette, -n";унитаз, м.;;;;
toilet tissue, toiletpape…;das Toilettenpapier;туалетная бумага, ж.;;;;
soap dispenser;die Seife, -n;мыло, с.;;;;
"upright, upright piano
grand piano, grand";das Klavier, -e;фортепиано, с.;;;;
sliding door;die Tür, -en;дверь, ж.;;;;
radiator;"der Heizkörper, -
der Radiator, -en";радиатор, м.;;;;
bannister, banister, bal…;die Treppe, -n;лестница, ж.;;;;
mountain tent;das Zelt, -e;палатка, ж.;;;;
"soccer ball
volleyball
tennisball
basketball";"der Ball, ""-e";мяч, м.;;;;
umbrella;der Regenschirm,-e;зонт, м.;;;;
candle, taper, wax light;die Kerze, -n;свечка, ж.;;;;
lighter, light, igniter, ig…;das Feuerzeug, -e;зажигалка, ж.;;;;
pill bottle;die Tablette, -n;таблетка, ж.;;;;
Band Aid;das Pflaster, -;лейкопластырь, м.;;;;
necklace;die Halskette, -n;цепочка, ж.;;;;
perfume, essence;"das Parfüm, ""-e";туалетная вода, ж.;;;;
sunglasses, dark glasse,,,;die Brille, -n;очки, м., мн. ч.;;;;
"wallet, billfold, notecas…
purse";die Geldbörse, -n;кошелек, м.;;;;
digital watch;die Uhr, -en ;наручные часы, м., мн. ч.;;;;
lipstick, lip rouge;der Lippenstift, -e;губная помада, ж.;;;;
paper towel;"das Taschentuch, ""-er";салфетка, ж.;;;;
envelop;der Brief, -e;письмо, с.;;;;
packet;das Paket, -e;пакет, м.;;;;
ashcan, trashcan, garb…;"der Korb, ""-e ";мусорная корзина, ж.;;;;
carton;der Karton, -s;коробка, ж.;;;;
ballpoint, ballpoint pen…;der Kuli, -s;ручка, ж.;;;;
rule, ruler;das Lineal, -e;линейка, ж.;;;;
pencil sharpener;der Anspitzer, -;точилка, ж.;;;;
rubber eraser, rubber, …;der Radiergummi, -s;стирательная резинка, ж.;;;;
backpack, back pack, kn…;"der Rucksack, ""-e";рюкзак, м.;;;;
mailbag, postbag;die Tasche, -n ;сумка, ж.;;;;
wardrobe, closet, press;die Garderobe, -n;гардероб, м.;;;;
"fur coat
cardigan";die Jacke, -n;куртка, ж.;;;;
trench coat;"der Mantel, """;пальто, с.;;;;
sweatshirt;der Pulli, -s;свитер / пуловер, м.;;;;
jean, blue jean, denim;die Hose, -n;брюки, ж., мн.ч.;;;;
overskirt;der Rock, “-e;юбка, ж.;;;;
jersey, T-shirt, tee shirt;das T-Shirt, -s;футболка, ж.;;;;
wool, wooden, woollen;die Mütze, -n;шапка, ж.;;;;
